iter	Passed	Remaining
668	255913	126617
669	256284	126229
670	256661	125844
671	257042	125461
672	257437	125084
673	257821	124702
674	258196	124316
675	258574	123932
676	258953	123548
677	259346	123170
678	259753	122799
679	260141	122419
680	260523	122036
681	260901	121651
682	261279	121267
683	261660	120884
684	262037	120499
685	262412	120113
686	262790	119728
687	263167	119343
688	263550	118961
689	263928	118576
690	264305	118191
691	264680	117805
692	265052	117418
693	265428	117033
694	265805	116648
695	266179	116262
696	266559	115878
697	266933	115492
698	267322	115113
699	267718	114736
700	268093	114350
701	268471	113966
702	268846	113581
703	269218	113194
704	269597	112810
705	269972	112424
706	270345	112038
707	270717	111652
708	271094	111267
709	271471	110882
710	271845	110496
711	272215	110109
712	272593	109725
713	272977	109344
714	273358	108961
715	273732	108575
716	274105	108189
717	274481	107804
718	274856	107419
719	275229	107033
720	275605	106648
721	275984	106265
722	276363	105882
723	276735	105495
724	277116	105113
725	277499	104731
726	277873	104346
727	278286	103975
728	278703	103605
729	279101	103229
730	279521	102860
731	279910	102480
732	280307	102103
733	280756	101745
734	281163	101371
735	281565	100996
736	281963	100619
737	282371	100245
738	282792	99876
739	283191	99499
740	283580	99119
741	283974	98740
742	284371	98362
743	284761	97982
744	285166	97607
745	285569	97231
746	286061	96885
747	286495	96519
748	286917	96149
749	287326	95775
750	287738	95401
751	288228	95053
752	288688	94695
753	289139	94334
754	289572	93967
755	289965	93586
756	290459	93238
757	290903	92874
758	291433	92537
759	291938	92191
760	292413	91835
761	292894	91481
762	293388	91131
763	293932	90795
764	294392	90434
765	294790	90053
766	295187	89672
767	295607	89297
768	296029	88924
769	296511	88568
770	296933	88194
771	297390	87830
772	297796	87451
773	298228	87079
774	298661	86708
775	299146	86351
776	299577	85979
777	300054	85619
778	300595	85278
779	301156	84941
780	301587	84568
781	302021	84195
782	302429	83815
783	302840	83435
784	303267	83060
785	303682	82681
786	304080	82298
787	304469	81913
788	304888	81535
789	305299	81155
790	305712	80776
791	306194	80414
792	306606	80034
793	307021	79655
794	307455	79281
795	307994	78933
796	308507	78578
797	308943	78203
798	309342	77819
799	309745	77436
800	310159	77055
801	310627	76688
802	311028	76304
803	311439	75923
804	311848	75541
805	312256	75158
806	312657	74774
807	313051	74388
808	313443	74002
809	313845	73617
810	314299	73246
811	314708	72863
812	315131	72484
